z,T_eV,Theta_total_norm,Gamma_QCD,Gamma_weak,Gamma_thermal,Gamma_EM
1.0,0.000469644662779,1.695619044852697e-09,0.0,1.1927264990987583e-140,3.607323507673055e-23,3.607323507673055e-23
1.0201697654601178,0.0004743809741279242,1.695619044852697e-09,0.0,1.3864650889992738e-140,3.908841520495532e-23,3.908841520495532e-23
1.0407463503589518,0.0004792128157659025,1.695619044852697e-09,0.0,1.6140848475169346e-140,4.2389408308444333e-23,4.2389408308444333e-23
1.0617379601491652,0.00048414211451645905,1.695619044852697e-09,0.0,1.8818843901148044e-140,4.6005829280999746e-23,4.6005829280999746e-23
1.083152965785478,0.0004891708360666972,1.695619044852697e-09,0.0,2.197396119507528e-140,4.997058311231187e-23,4.997058311231187e-23
1.104999907062802,0.000494300985751168,1.695619044852697e-09,0.0,2.569639196158277e-140,5.432025182160821e-23,5.432025182160821e-23
1.1272874960217107,0.0004995346093515498,1.695619044852697e-09,0.0,3.0094265192099167e-140,5.909552912253278e-23,5.909552912253278e-23
1.150024620422592,0.0005048737939124578,1.695619044852697e-09,0.0,3.5297376751562707e-140,6.434170895212975e-23,6.434170895212975e-23
1.1732203472898766,0.0005103206685737077,1.695619044852697e-09,0.0,4.146172546923513e-140,7.010923481303051e-23,7.010923481303051e-23
1.1968839265277513,0.0005158774054193655,1.695619044852697e-09,0.0,4.877503656058412e-140,7.645431780617969e-23,7.645431780617969e-23
1.221024794608801,0.000521546220343924,1.695619044852697e-09,0.0,5.746349491537858e-140,8.34396322874834e-23,8.34396322874834e-23
1.2456525783370491,0.0005273293739359476,1.695619044852697e-09,0.0,6.779996255215371e-140,9.113509928367332e-23,9.113509928367332e-23
1.2707770986868983,0.0005332291723795423,1.695619044852697e-09,0.0,8.011401869622422e-140,9.961876917117013e-23,9.961876917117013e-23
1.296408374719502,0.0005392479683740061,1.695619044852697e-09,0.0,9.48042405328481e-140,1.0897781668045341e-22,1.0897781668045341e-22
1.3225566275781269,0.0005453881620720304,1.695619044852697e-09,0.0,1.1235324153111255e-139,1.1930966306456658e-22,1.1930966306456658e-22
1.349232284564102,0.0005516522020368237,1.695619044852697e-09,0.0,1.333461071037842e-139,1.3072324229497526e-22,1.3072324229497526e-22
1.376445983294979,0.0005580425862185398,1.695619044852697e-09,0.0,1.584930202531845e-139,1.4334043045671637e-22,1.4334043045671637e-22
1.40420857594656,0.000564561862950401,1.695619044852697e-09,0.0,1.886570602707747e-139,1.5729766014847326e-22,1.5729766014847326e-22
1.432531133580488,0.0005712126319649134,1.695619044852697e-09,0.0,2.2488839495280026e-139,1.727477446987739e-22,1.727477446987739e-22
1.4614249505591232,0.000577997545430578,1.695619044852697e-09,0.0,2.6846638304114857e-139,1.898619404407113e-22,1.898619404407113e-22
1.490901549049465,0.0005849193090095124,1.695619044852697e-09,0.0,3.209514736424397e-139,2.0883227920614955e-22,2.0883227920614955e-22
1.520972683617919,0.0005919806829364041,1.695619044852697e-09,0.0,3.842492520439118e-139,2.298742076771811e-22,2.298742076771811e-22
1.5516503459177382,0.0005991844831192275,1.695619044852697e-09,0.0,4.606895603645027e-139,2.532295753490132e-22,2.532295753490132e-22
1.5829467694710095,0.0006065335822621598,1.695619044852697e-09,0.0,5.531243467992985e-139,2.791700187079737e-22,2.791700187079737e-22
1.6148744345470911,0.0006140309110111485,1.695619044852697e-09,0.0,6.650488066536642e-139,3.080007959183915e-22,3.080007959183915e-22
1.6474460731394462,0.0006216794591225814,1.695619044852697e-09,0.0,8.007515197211656e-139,3.400651339661833e-22,3.400651339661833e-22
1.6806746740428609,0.0006294822766555326,1.695619044852697e-09,0.0,9.655007223082936e-139,3.7574915896711136e-22,3.7574915896711136e-22
1.7145734880330654,0.0006374424751880513,1.695619044852697e-09,0.0,1.1657756549123993e-138,4.1548749037709283e-22,4.1548749037709283e-22
1.7491560331508282,0.000645563229057987,1.695619044852697e-09,0.0,1.409554195238419e-138,4.597695913286674e-22,4.597695913286674e-22
1.7844361000926305,0.0006538477766288386,1.695619044852697e-09,0.0,1.706670843939127e-138,5.091469804778143e-22,5.091469804778143e-22
1.8204277577100663,0.0006622994215811376,1.695619044852697e-09,0.0,2.0692627333637347e-138,5.642414258278548e-22,5.642414258278548e-22
1.8571453586201663,0.0006709215342298766,1.695619044852697e-09,0.0,2.5123258761001594e-138,6.2575425828863885e-22,6.2575425828863885e-22
1.8946035449288814,0.0006797175528685113,1.695619044852697e-09,0.0,3.0544096124375603e-138,6.944769625598221e-22,6.944769625598221e-22
1.932817254070005,0.0006886909851400702,1.695619044852697e-09,0.0,3.718484475005234e-138,7.713032256770555e-22,7.713032256770555e-22
1.9718017247618658,0.0006978454094359185,1.695619044852697e-09,0.0,4.533027873463727e-138,8.572426496677285e-22,8.572426496677285e-22
2.0115725030841682,0.0007071844763227366,1.695619044852697e-09,0.0,5.533383633093104e-138,9.534363647336954e-22,9.534363647336954e-22
2.052145448677398,0.0007167119099982781,1.695619044852697e-09,0.0,6.763466162766553e-138,1.0611748137948617e-21,1.0611748137948617e-21
2.093536741067269,0.0007264315097764921,1.695619044852697e-09,0.0,8.27789872807994e-138,1.1819180187614863e-21,1.1819180187614863e-21
2.1357628861167353,0.0007363471516025989,1.695619044852697e-09,0.0,1.0144699047541447e-137,1.3173186843297864e-21,1.3173186843297864e-21
2.178840722608134,0.0007464627895987249,1.695619044852697e-09,0.0,1.2448655598497893e-137,1.4692485473094426e-21,1.4692485473094426e-21
2.2227874289580942,0.0007567824576407123,1.695619044852697e-09,0.0,1.5295576386556307e-137,1.6398284395254103e-21,1.6398284395254103e-21
2.267620530067877,0.0007673102709667327,1.695619044852697e-09,0.0,1.881764076601539e-137,1.8314626013821586e-21,1.8314626013821586e-21
2.3133579043118937,0.0007780504278183467,1.695619044852697e-09,0.0,2.3180147105721837e-137,2.046877862612752e-21,2.046877862612752e-21
2.3600177906671744,0.0007890072111146629,1.695619044852697e-09,0.0,2.859002840166736e-137,2.289168398148176e-21,2.289168398148176e-21
2.407618795986637,0.000800184990160263,1.695619044852697e-09,0.0,3.5306609126859506e-137,2.561846872271524e-21,2.561846872271524e-21
2.4561799024190583,0.0008115882223875779,1.695619044852697e-09,0.0,4.365520582168739e-137,2.8689029053903853e-21,2.8689029053903853e-21
2.505720474978706,0.0008232214551344051,1.695619044852697e-09,0.0,5.404433905593595e-137,3.2148699373233913e-21,3.2148699373233913e-21
2.556260269267641,0.0008350893274572785,1.695619044852697e-09,0.0,6.698753558548265e-137,3.604901721791621e-21,3.604901721791621e-21
2.6078194393537872,0.0008471965719814151,1.695619044852697e-09,0.0,8.313096984281629e-137,4.044859872114592e-21,4.044859872114592e-21
2.660418545807889,0.0008595480167879719,1.695619044852697e-09,0.0,1.03288540159791e-136,4.541414091730055e-21,4.541414091730055e-21
2.7140785639025813,0.0008721485873393702,1.695619044852697e-09,0.0,1.2848641899784199e-136,5.102156969480488e-21,5.102156969480488e-21
2.76882089197683,0.0008850033084434541,1.695619044852697e-09,0.0,1.6001968590585378e-136,5.7357355037197326e-21,5.7357355037197326e-21
2.8246673599690766,0.0008981173062572625,1.695619044852697e-09,0.0,1.995243830077585e-136,6.4520018470760724e-21,6.4520018470760724e-21
2.8816402381225035,0.0009114958103312202,1.695619044852697e-09,0.0,2.4906927211690332e-136,7.26218614197632e-21,7.26218614197632e-21
2.9397622458658725,0.0009251441556945567,1.695619044852697e-09,0.0,3.1127278026651546e-136,8.179094753678501e-21,8.179094753678501e-21
2.999056560873496,0.0009390677849827903,1.695619044852697e-09,0.0,3.894521743549758e-136,9.217337711718363e-21,9.217337711718363e-21
3.059546828307942,0.0009532722506081213,1.695619044852697e-09,0.0,4.878140064188717e-136,1.0393589752933905e-20,1.0393589752933905e-20
3.1212571702491605,0.0009677632169736014,1.695619044852697e-09,0.0,6.116974491261791e-136,1.1726890031861944e-20,1.1726890031861944e-20
3.1842121953137967,0.0009825464627319636,1.695619044852697e-09,0.0,7.678854653102477e-136,1.3238986341520082e-20,1.3238986341520082e-20
3.248437008468523,0.0009976278830900116,1.695619044852697e-09,0.0,9.650030446722724e-136,1.4954730585881435e-20,1.4954730585881435e-20
