nu_thermal,mu_PIXIE,max_damping_tail_percent
5,-3.0347336501499846e-09,3.841011235025411e-16
10,-3.267953464383147e-09,1.9522467529355783e-31
15,-3.3165302095987155e-09,9.922562448121277e-47
20,-3.3300389487937166e-09,5.043278744800938e-62
30,-3.3377032214951613e-09,1.3028404559779653e-92
