z,Theta_A_norm,Theta_B_norm,rel_diff
1.0,1.6958161721002058e-06,0.00037033179440929887,-217.37968082982522
1.0334896974791508,1.6958195210642749e-06,0.00037033179440929887,-217.37924956594634
1.0681009547955467,1.6958229821841376e-06,0.00037033179440929887,-217.37880386096046
1.1038713326488419,1.6958265592158573e-06,0.00037033179440929887,-217.37834323136127
1.1408396496351585,1.6958302560412871e-06,0.00037033179440929887,-217.37786717745806
1.1790460243736605,1.6958340766722823e-06,0.00037033179440929887,-217.37737518283458
1.2185319190439299,1.6958380252550538e-06,0.00037033179440929887,-217.3768667137895
1.2593401843814003,1.6958421060746672e-06,0.00037033179440929887,-217.37634121875809
1.3015151061796715,1.6958463235596956e-06,0.00037033179440929887,-217.3757981277145
1.3451024533501736,1.6958506822870215e-06,0.00037033179440929887,-217.37523685155466
1.3901495275913345,1.6958551869868071e-06,0.00037033179440929887,-217.37465678145776
1.436705214721153,1.6958598425476256e-06,0.00037033179440929887,-217.37405728822705
1.4848200377288827,1.695864654021767e-06,0.00037033179440929887,-217.3734377216081
1.5345462116034045,1.6958696266307224e-06,0.00037033179440929887,-217.37279740958476
1.5859376999977794,1.6958747657708474e-06,0.00037033179440929887,-217.37213565765117
1.6390502737914854,1.69588007701922e-06,0.00037033179440929887,-217.37145174806
1.6939415716138817,1.6958855661396947e-06,0.00037033179440929887,-217.3707449390448
1.7506711623945879,1.695891239089153e-06,0.00037033179440929887,-217.3700144640175
1.809300610008656,1.6958971020239723e-06,0.00037033179440929887,-217.36925953073776
1.869893540086689,1.6959031613067054e-06,0.00037033179440929887,-217.36847932045578
1.9325157090624108,1.695909423512984e-06,0.00037033179440929887,-217.36767298702588
1.9972350755326178,1.6959158954386567e-06,0.00037033179440929887,-217.36683965599062
2.064121874006954,1.6959225841071619e-06,0.00037033179440929887,-217.36597842363443
2.1332486911275446,1.695929496777152e-06,0.00037033179440929887,-217.36508835600557
2.204690544441201,1.6959366409503687e-06,0.00037033179440929887,-217.36416848790554
2.278524963809681,1.6959440243797856e-06,0.00037033179440929887,-217.36321782184461
2.3548320755463603,1.6959516550780198e-06,0.00037033179440929887,-217.36223532696297
2.433694689370609,1.6959595413260292e-06,0.00037033179440929887,-217.36121993791522
2.515198388274247,1.6959676916820989e-06,0.00037033179440929887,-217.36017055371818
2.599431621397599,1.6959761149911276e-06,0.00037033179440929887,-217.35908603656026
2.6864858000159435,1.6959848203942275e-06,0.00037033179440929887,-217.35796521057077
2.776455396740512,1.6959938173386436e-06,0.00037033179440929887,-217.35680686054866
2.8694380480417077,1.6960031155880066e-06,0.00037033179440929887,-217.3556097306486
2.9655346602057895,1.696012725232928e-06,0.00037033179440929887,-217.35437252302341
3.0648495188400178,1.6960226567019501e-06,0.00037033179440929887,-217.3530938964213
3.1674904020450905,1.6960329207728656e-06,0.00037033179440929887,-217.3517724647363
3.2735686973776947,1.6960435285844113e-06,0.00037033179440929887,-217.35040679551028
3.3831995227300915,1.696054491648356e-06,0.00037033179440929887,-217.34899540838572
3.49650185125793,1.696065821861996e-06,0.00037033179440929887,-217.34753677350602
3.613598640491849,1.6960775315210632e-06,0.00037033179440929887,-217.34602930986344
3.7346169657729917,1.69608963333307e-06,0.00037033179440929887,-217.3444713835916
3.8596881581572346,1.6961021404310996e-06,0.00037033179440929887,-217.3428613062014
3.9889479469377815,1.696115066388059e-06,0.00037033179440929887,-217.34119733275787
4.122536606940807,1.6961284252314065e-06,0.00037033179440929887,-217.33947765999716
4.260599110753979,1.6961422314583763e-06,0.00037033179440929887,-217.3377004243803
4.4032852860530705,1.6961565000517109e-06,0.00037033179440929887,-217.33586370008223
4.550749978197383,1.6961712464959194e-06,0.00037033179440929887,-217.33396549691471
4.703153218270466,1.6961864867940835e-06,0.00037033179440929887,-217.33200375817935
4.860660396748439,1.6962022374852225e-06,0.00037033179440929887,-217.32997635845015
5.023442442984433,1.6962185156622429e-06,0.00037033179440929887,-217.3278811012818
5.191676010703908,1.6962353389904873e-06,0.00037033179440929887,-217.32571571684238
5.365543669712147,1.696252725726905e-06,0.00037033179440929887,-217.32347785946723
5.545234104021979,1.6962706947398657e-06,0.00037033179440929887,-217.32116510513183
5.730942316616747,1.6962892655296345e-06,0.00037033179440929887,-217.31877494884088
5.922869841070705,1.696308458249534e-06,0.00037033179440929887,-217.31630480193098
6.121224960256549,1.6963282937278175e-06,0.00037033179440929887,-217.3137519892833
6.3262229323773695,1.6963487934902676e-06,0.00037033179440929887,-217.3111137464452
6.538086224568354,1.6963699797835608e-06,0.00037033179440929887,-217.30838721665506
6.757044754321751,1.696391875599407e-06,0.00037033179440929887,-217.30556944776987
6.98333613899707,1.6964145046995017e-06,0.00037033179440929887,-217.30265738909046
7.217205953687304,1.696437891641313e-06,0.00037033179440929887,-217.299647888082
7.458907997721018,1.6964620618047305e-06,0.00037033179440929887,-217.2965376869863
7.708704570089514,1.6964870414196092e-06,0.00037033179440929887,-217.29332341932167
7.96686675409796,1.696512857594233e-06,0.00037033179440929887,-217.29000160626768
8.233674711549405,1.696539538344735e-06,0.00037033179440929887,-217.2865686529304
8.509417986780928,1.6965671126254999e-06,0.00037033179440929887,-217.2830208444845
8.794395820881867,1.696595610360586e-06,0.00037033179440929887,-217.27935434218784
9.088917476435109,1.6966250624761988e-06,0.00037033179440929887,-217.27556517926547
9.393302573133887,1.6966555009342533e-06,0.00037033179440929887,-217.2716492566569
9.70788143463827,1.6966869587670604e-06,0.00037033179440929887,-217.26760233862444
