ell,Delta_Cl_over_Cl
374,-2.2903646097731612e-28
375,-2.3010943487458605e-28
376,-2.311841473770848e-28
377,-2.3226059351128766e-28
378,-2.3333876831097885e-28
379,-2.344186668172442e-28
380,-2.35500284078462e-28
381,-2.365836151502942e-28
382,-2.3766865509567872e-28
383,-2.3875539898482064e-28
384,-2.3984384189518326e-28
385,-2.4093397891148063e-28
386,-2.4202580512566823e-28
387,-2.431193156369348e-28
388,-2.4421450555169435e-28
389,-2.453113699835772e-28
390,-2.464099040534216e-28
391,-2.4751010288926567e-28
392,-2.486119616263388e-28
393,-2.4971547540705353e-28
394,-2.508206393809964e-28
395,-2.519274487049206e-28
396,-2.5303589854273713e-28
397,-2.541459840655062e-28
398,-2.5525770045142943e-28
399,-2.5637104288584126e-28
400,-2.574860065612003e-28
401,-2.5860258667708183e-28
402,-2.597207784401687e-28
403,-2.6084057706424336e-28
404,-2.619619777701797e-28
405,-2.6308497578593468e-28
406,-2.6420956634653977e-28
407,-2.6533574469409315e-28
408,-2.664635060777512e-28
409,-2.6759284575372023e-28
410,-2.687237589852484e-28
411,-2.6985624104261747e-28
412,-2.709902872031342e-28
413,-2.72125892751123e-28
414,-2.7326305297791674e-28
415,-2.7440176318184912e-28
416,-2.7554201866824652e-28
417,-2.7668381474941966e-28
418,-2.7782714674465514e-28
419,-2.7897200998020797e-28
420,-2.8011839978929294e-28
421,-2.8126631151207643e-28
422,-2.824157404956686e-28
423,-2.83566682094115e-28
424,-2.847191316683888e-28
425,-2.8587308458638177e-28
426,-2.8702853622289752e-28
427,-2.881854819596425e-28
428,-2.8934391718521797e-28
429,-2.9050383729511226e-28
430,-2.9166523769169266e-28
431,-2.9282811378419686e-28
432,-2.9399246098872565e-28
433,-2.951582747282343e-28
434,-2.963255504325248e-28
435,-2.9749428353823765e-28
436,-2.9866446948884424e-28
437,-2.9983610373463826e-28
438,-3.0100918173272815e-28
439,-3.0218369894702894e-28
440,-3.033596508482543e-28
441,-3.0453703291390835e-28
442,-3.0571584062827837e-28
443,-3.0689606948242573e-28
444,-3.08077714974179e-28
445,-3.092607726081256e-28
446,-3.1044523789560346e-28
447,-3.1163110635469377e-28
448,-3.128183735102129e-28
449,-3.140070348937038e-28
450,-3.151970860434293e-28
451,-3.163885225043633e-28
452,-3.1758133982818286e-28
453,-3.187755335732611e-28
454,-3.1997109930465853e-28
455,-3.2116803259411577e-28
456,-3.2236632902004515e-28
457,-3.235659841675231e-28
458,-3.247669936282828e-28
459,-3.2596935300070546e-28
460,-3.271730578898131e-28
461,-3.283781039072607e-28
462,-3.2958448667132813e-28
463,-3.307922018069124e-28
464,-3.3200124494552043e-28
465,-3.332116117252602e-28
466,-3.344232977908341e-28
467,-3.356362987935304e-28
468,-3.368506103912158e-28
469,-3.380662282483276e-28
470,-3.3928314803586625e-28
471,-3.405013654313868e-28
472,-3.417208761189922e-28
473,-3.429416757893252e-28
474,-3.441637601395601e-28
475,-3.453871248733959e-28
476,-3.4661176570104807e-28
477,-3.4783767833924086e-28
478,-3.4906485851120015e-28
479,-3.5029330194664512e-28
480,-3.515230043817809e-28
481,-3.52753961559291e-28
482,-3.539861692283296e-28
483,-3.5521962314451346e-28
484,-3.5645431906991533e-28
485,-3.5769025277305513e-28
486,-3.5892742002889355e-28
487,-3.6016581661882305e-28
488,-3.6140543833066143e-28
489,-3.6264628095864407e-28
490,-3.638883403034154e-28
491,-3.651316121720227e-28
492,-3.6637609237790765e-28
493,-3.6762177674089873e-28
494,-3.688686610872043e-28
495,-3.7011674124940453e-28
496,-3.713660130664439e-28
497,-3.726164723836238e-28
498,-3.738681150525955e-28
499,-3.751209369313513e-28
500,-3.7637493388421852e-28
501,-3.776301017818512e-28
502,-3.788864365012225e-28
503,-3.8014393392561777e-28
504,-3.8140258994462683e-28
505,-3.8266240045413614e-28
506,-3.83923361356322e-28
507,-3.8518546855964264e-28
508,-3.864487179788307e-28
509,-3.877131055348865e-28
510,-3.889786271550697e-28
511,-3.9024527877289232e-28
512,-3.915130563281115e-28
513,-3.927819557667219e-28
514,-3.9405197304094815e-28
515,-3.953231041092376e-28
516,-3.965953449362532e-28
517,-3.9786869149286585e-28
518,-3.991431397561467e-28
519,-4.004186857093607e-28
520,-4.0169532534195834e-28
521,-4.029730546495688e-28
522,-4.042518696339926e-28
523,-4.055317663031942e-28
524,-4.068127406712941e-28
525,-4.080947887585631e-28
526,-4.093779065914131e-28
527,-4.106620902023911e-28
528,-4.119473356301713e-28
529,-4.132336389195484e-28
530,-4.145209961214293e-28
531,-4.158094032928271e-28
532,-4.170988564968531e-28
533,-4.183893518027092e-28
534,-4.1968088528568155e-28
535,-4.20973453027133e-28
536,-4.222670511144953e-28
537,-4.235616756412628e-28
538,-4.248573227069846e-28
539,-4.261539884172574e-28
540,-4.2745166888371845e-28
541,-4.287503602240388e-28
542,-4.300500585619147e-28
543,-4.3135076002706245e-28
544,-4.326524607552095e-28
545,-4.339551568880879e-28
546,-4.352588445734278e-28
547,-4.365635199649487e-28
548,-4.378691792223546e-28
549,-4.391758185113244e-28
550,-4.404834340035065e-28
551,-4.417920218765113e-28
552,-4.431015783139034e-28
553,-4.444120995051955e-28
554,-4.457235816458406e-28
555,-4.470360209372252e-28
556,-4.483494135866622e-28
557,-4.496637558073839e-28
558,-4.509790438185346e-28
559,-4.522952738451636e-28
560,-4.536124421182193e-28
561,-4.549305448745398e-28
562,-4.562495783568483e-28
563,-4.575695388137447e-28
564,-4.588904224996987e-28
565,-4.602122256750431e-28
566,-4.615349446059669e-28
567,-4.628585755645079e-28
568,-4.641831148285458e-28
569,-4.655085586817955e-28
570,-4.6683490341379975e-28
571,-4.681621453199225e-28
572,-4.69490280701342e-28
573,-4.70819305865043e-28
574,-4.721492171238111e-28
575,-4.734800107962249e-28
576,-4.748116832066491e-28
577,-4.761442306852283e-28
578,-4.774776495678793e-28
579,-4.788119361962844e-28
580,-4.801470869178845e-28
581,-4.814830980858725e-28
582,-4.828199660591865e-28
583,-4.8415768720250165e-28
584,-4.85496257886225e-28
585,-4.868356744864876e-28
586,-4.881759333851379e-28
587,-4.895170309697347e-28
588,-4.90858963633541e-28
589,-4.922017277755161e-28
590,-4.9354531980030955e-28
591,-4.948897361182544e-28
592,-4.962349731453593e-28
593,-4.975810273033032e-28
594,-4.989278950194276e-28
595,-5.0027557272672975e-28
596,-5.016240568638562e-28
597,-5.029733438750963e-28
598,-5.043234302103741e-28
599,-5.056743123252433e-28
600,-5.070259866808796e-28
601,-5.0837844974407355e-28
602,-5.0973169798722475e-28
603,-5.110857278883345e-28
604,-5.12440535930999e-28
605,-5.137961186044033e-28
606,-5.151524724033138e-28
607,-5.165095938280717e-28
608,-5.178674793845868e-28
609,-5.192261255843303e-28
610,-5.205855289443282e-28
611,-5.219456859871548e-28
612,-5.233065932409259e-28
613,-5.246682472392921e-28
614,-5.260306445214319e-28
615,-5.273937816320457e-28
616,-5.287576551213488e-28
617,-5.301222615450642e-28
618,-5.31487597464417e-28
619,-5.328536594461272e-28
620,-5.342204440624026e-28
621,-5.3558794789093355e-28
622,-5.369561675148848e-28
623,-5.383250995228901e-28
624,-5.396947405090449e-28
625,-5.410650870729002e-28
626,-5.42436135819455e-28
627,-5.4380788335915155e-28
628,-5.45180326307867e-28
629,-5.465534612869079e-28
630,-5.479272849230029e-28
631,-5.493017938482974e-28
632,-5.506769847003452e-28
633,-5.520528541221037e-28
634,-5.534293987619263e-28
635,-5.548066152735566e-28
636,-5.561845003161212e-28
637,-5.575630505541238e-28
638,-5.5894226265743805e-28
639,-5.603221333013019e-28
640,-5.617026591663105e-28
641,-5.630838369384095e-28
642,-5.644656633088894e-28
643,-5.658481349743788e-28
644,-5.672312486368373e-28
645,-5.686150010035498e-28
646,-5.699993887871198e-28
647,-5.7138440870546295e-28
648,-5.727700574818005e-28
649,-5.741563318446532e-28
650,-5.755432285278347e-28
651,-5.769307442704447e-28
652,-5.783188758168637e-28
653,-5.797076199167456e-28
654,-5.810969733250111e-28
655,-5.824869328018424e-28
656,-5.8387749511267615e-28
657,-5.852686570281969e-28
658,-5.866604153243315e-28
659,-5.880527667822416e-28
660,-5.894457081883184e-28
661,-5.908392363341758e-28
662,-5.922333480166443e-28
663,-5.936280400377639e-28
664,-5.950233092047788e-28
665,-5.964191523301309e-28
666,-5.978155662314526e-28
667,-5.992125477315615e-28
668,-6.006100936584541e-28
669,-6.020082008452985e-28
670,-6.034068661304292e-28
671,-6.048060863573403e-28
672,-6.062058583746792e-28
673,-6.0760617903624075e-28
674,-6.090070452009602e-28
675,-6.104084537329084e-28
676,-6.1181040150128365e-28
677,-6.132128853804069e-28
678,-6.146159022497151e-28
679,-6.160194489937545e-28
680,-6.174235225021754e-28
681,-6.188281196697252e-28
682,-6.202332373962423e-28
683,-6.2163887258665005e-28
684,-6.230450221509506e-28
685,-6.244516830042189e-28
686,-6.258588520665953e-28
687,-6.272665262632813e-28
688,-6.286747025245322e-28
689,-6.3008337778565086e-28
690,-6.31492548986982e-28
691,-6.32902213073906e-28
692,-6.343123669968324e-28
693,-6.357230077111945e-28
694,-6.371341321774424e-28
695,-6.385457373610372e-28
696,-6.399578202324452e-28
697,-6.413703777671311e-28
698,-6.42783406945553e-28
699,-6.44196904753155e-28
700,-6.45610868180362e-28
701,-6.470252942225733e-28
702,-6.48440179880157e-28
703,-6.498555221584426e-28
704,-6.512713180677167e-28
705,-6.526875646232161e-28
706,-6.541042588451211e-28
707,-6.555213977585506e-28
708,-6.569389783935555e-28
709,-6.58356997785113e-28
710,-6.597754529731196e-28
711,-6.611943410023866e-28
712,-6.626136589226327e-28
713,-6.640334037884792e-28
714,-6.654535726594426e-28
715,-6.668741625999307e-28
716,-6.682951706792335e-28
717,-6.697165939715207e-28
718,-6.711384295558331e-28
719,-6.725606745160781e-28
720,-6.73983325941023e-28
721,-6.754063809242892e-28
722,-6.768298365643466e-28
723,-6.782536899645072e-28
724,-6.796779382329198e-28
725,-6.811025784825628e-28
726,-6.825276078312399e-28
727,-6.839530234015732e-28
728,-6.8537882232099705e-28
729,-6.868050017217532e-28
730,-6.882315587408841e-28
731,-6.896584905202269e-28
732,-6.910857942064083e-28
733,-6.92513466950838e-28
734,-6.93941505909703e-28
735,-6.953699082439619e-28
736,-6.96798671119339e-28
737,-6.982277917063184e-28
738,-6.996572671801382e-28
739,-7.010870947207839e-28
740,-7.025172715129844e-28
741,-7.039477947462039e-28
742,-7.053786616146381e-28
743,-7.068098693172076e-28
744,-7.082414150575504e-28
745,-7.096732960440198e-28
746,-7.111055094896753e-28
747,-7.125380526122778e-28
748,-7.139709226342847e-28
749,-7.154041167828432e-28
750,-7.168376322897842e-28
751,-7.182714663916182e-28
752,-7.197056163295269e-28
753,-7.211400793493606e-28
754,-7.225748527016298e-28
755,-7.240099336415005e-28
756,-7.254453194287891e-28
757,-7.268810073279552e-28
758,-7.283169946080967e-28
759,-7.297532785429452e-28
760,-7.311898564108581e-28
761,-7.326267254948135e-28
762,-7.340638830824067e-28
763,-7.35501326465841e-28
764,-7.3693905294192425e-28
765,-7.383770598120634e-28
766,-7.398153443822576e-28
767,-7.412539039630922e-28
768,-7.426927358697357e-28
769,-7.441318374219309e-28
770,-7.4557120594399075e-28
771,-7.4701083876479305e-28
772,-7.484507332177747e-28
773,-7.498908866409249e-28
774,-7.513312963767806e-28
775,-7.527719597724212e-28
776,-7.542128741794614e-28
777,-7.5565403695404755e-28
778,-7.570954454568503e-28
779,-7.5853709705306e-28
780,-7.599789891123812e-28
781,-7.614211190090264e-28
782,-7.6286348412171015e-28
783,-7.643060818336455e-28
784,-7.657489095325359e-28
785,-7.671919646105717e-28
786,-7.686352444644229e-28
787,-7.700787464952343e-28
788,-7.71522468108621e-28
789,-7.729664067146609e-28
790,-7.744105597278904e-28
791,-7.758549245672994e-28
792,-7.772994986563239e-28
793,-7.78744279422842e-28
794,-7.801892642991686e-28
795,-7.816344507220485e-28
796,-7.8307983613265145e-28
797,-7.8452541797656795e-28
798,-7.8597119370380205e-28
799,-7.874171607687661e-28
800,-7.888633166302766e-28
801,-7.903096587515474e-28
802,-7.917561846001848e-28
803,-7.9320289164818115e-28
804,-7.9464977737191195e-28
805,-7.960968392521264e-28
806,-7.975440747739465e-28
807,-7.989914814268577e-28
808,-8.004390567047056e-28
809,-8.018867981056902e-28
810,-8.033347031323603e-28
811,-8.047827692916077e-28
812,-8.062309940946631e-28
813,-8.076793750570888e-28
814,-8.091279096987745e-28
815,-8.105765955439322e-28
816,-8.120254301210903e-28
817,-8.134744109630875e-28
818,-8.149235356070694e-28
819,-8.163728015944807e-28
820,-8.178222064710615e-28
821,-8.192717477868422e-28
822,-8.207214230961366e-28
823,-8.221712299575372e-28
824,-8.236211659339114e-28
825,-8.250712285923938e-28
826,-8.265214155043818e-28
827,-8.27971724245531e-28
828,-8.294221523957494e-28
829,-8.308726975391908e-28
830,-8.323233572642525e-28
831,-8.33774129163567e-28
832,-8.352250108339974e-28
833,-8.36675999876634e-28
834,-8.38127093896787e-28
835,-8.39578290503981e-28
836,-8.410295873119523e-28
837,-8.42480981938641e-28
838,-8.439324720061856e-28
839,-8.453840551409213e-28
840,-8.4683572897337e-28
841,-8.482874911382383e-28
842,-8.497393392744115e-28
843,-8.511912710249477e-28
844,-8.526432840370727e-28
845,-8.540953759621765e-28
846,-8.55547544455805e-28
847,-8.569997871776579e-28
848,-8.584521017915813e-28
849,-8.59904485965563e-28
850,-8.61356937371729e-28
851,-8.628094536863358e-28
852,-8.642620325897661e-28
853,-8.657146717665247e-28
854,-8.671673689052324e-28
855,-8.686201216986205e-28
856,-8.700729278435263e-28
857,-8.71525785040888e-28
858,-8.729786909957385e-28
859,-8.744316434172023e-28
860,-8.758846400184878e-28
861,-8.773376785168843e-28
862,-8.78790756633756e-28
863,-8.802438720945367e-28
864,-8.816970226287246e-28
865,-8.831502059698787e-28
866,-8.846034198556111e-28
867,-8.86056662027584e-28
868,-8.875099302315045e-28
869,-8.889632222171177e-28
870,-8.904165357382038e-28
871,-8.918698685525716e-28
872,-8.933232184220544e-28
873,-8.947765831125037e-28
874,-8.962299603937857e-28
875,-8.976833480397754e-28
876,-8.991367438283504e-28
877,-9.005901455413886e-28
878,-9.020435509647612e-28
879,-9.034969578883268e-28
880,-9.0495036410593e-28
881,-9.064037674153917e-28
882,-9.078571656185079e-28
883,-9.093105565210427e-28
884,-9.107639379327241e-28
885,-9.12217307667238e-28
886,-9.136706635422247e-28
887,-9.151240033792728e-28
888,-9.165773250039143e-28
889,-9.180306262456206e-28
890,-9.19483904937796e-28
891,-9.209371589177736e-28
892,-9.22390386026811e-28
893,-9.238435841100837e-28
894,-9.252967510166814e-28
895,-9.267498845996031e-28
896,-9.282029827157512e-28
897,-9.296560432259273e-28
898,-9.311090639948273e-28
899,-9.32562042891036e-28
900,-9.340149777870227e-28
901,-9.354678665591356e-28
902,-9.36920707087598e-28
903,-9.383734972565023e-28
904,-9.398262349538057e-28
905,-9.412789180713248e-28
906,-9.427315445047314e-28
907,-9.441841121535473e-28
908,-9.45636618921139e-28
909,-9.470890627147139e-28
910,-9.48541441445314e-28
911,-9.499937530278121e-28
912,-9.514459953809072e-28
913,-9.52898166427118e-28
914,-9.543502640927795e-28
915,-9.558022863080384e-28
916,-9.57254231006847e-28
917,-9.587060961269594e-28
918,-9.601578796099265e-28
919,-9.616095794010901e-28
920,-9.630611934495794e-28
921,-9.645127197083065e-28
922,-9.6596415613396e-28
923,-9.674155006870006e-28
924,-9.688667513316587e-28
925,-9.70317906035926e-28
926,-9.717689627715522e-28
927,-9.732199195140417e-28
928,-9.746707742426467e-28
929,-9.76121524940363e-28
930,-9.77572169593927e-28
931,-9.790227061938076e-28
932,-9.80473132734204e-28
933,-9.819234472130411e-28
934,-9.833736476319628e-28
935,-9.848237319963281e-28
936,-9.862736983152082e-28
937,-9.877235446013789e-28
938,-9.89173268871317e-28
939,-9.906228691451975e-28
940,-9.920723434468852e-28
941,-9.935216898039327e-28
942,-9.949709062475752e-28
943,-9.964199908127255e-28
944,-9.97868941537969e-28
945,-9.993177564655598e-28
946,-1.0007664336414148e-27
947,-1.0022149711151107e-27
948,-1.0036633669398786e-27
949,-1.0051116191725982e-27
950,-1.0065597258737942e-27
951,-1.0080076851076332e-27
952,-1.0094554949419151e-27
953,-1.0109031534480723e-27
954,-1.0123506587011633e-27
955,-1.0137980087798675e-27
956,-1.0152452017664819e-27
957,-1.0166922357469168e-27
958,-1.0181391088106886e-27
959,-1.0195858190509178e-27
960,-1.0210323645643241e-27
961,-1.0224787434512199e-27
962,-1.0239249538155073e-27
963,-1.0253709937646744e-27
964,-1.0268168614097875e-27
965,-1.0282625548654898e-27
966,-1.029708072249996e-27
967,-1.0311534116850853e-27
968,-1.0325985712961006e-27
969,-1.0340435492119413e-27
970,-1.0354883435650595e-27
971,-1.036932952491456e-27
972,-1.0383773741306747e-27
973,-1.0398216066257988e-27
974,-1.041265648123446e-27
975,-1.0427094967737642e-27
