f_Hz,Omega_GW_total,Omega_GW_QCD,Omega_GW_weak,Omega_GW_thermal
4.375910666976011e-10,4.002096840392532e-12,3.974975320583618e-28,4.002096840392532e-12,1.6862622375942597e-164
4.478010853966855e-10,3.756892177316568e-12,7.099692106395471e-28,3.756892177316567e-12,6.0473050093077725e-165
4.58249327610298e-10,3.5215035005868664e-12,1.2638649461077163e-27,3.521503500586865e-12,2.1654935212251307e-165
4.689413516478391e-10,3.2959891512489243e-12,2.242424850110396e-27,3.295989151248922e-12,7.743016047874085e-166
4.798828455070065e-10,3.080361440460158e-12,3.9654383438001785e-27,3.080361440460154e-12,2.764532409397385e-166
4.910796298997312e-10,2.8745895254690327e-12,6.989089164074868e-27,2.874589525469026e-12,9.855790597619813e-167
5.025376613487154e-10,2.6786024075325842e-12,1.227738954668883e-26,2.678602407532572e-12,3.5084840397714116e-167
5.142630353562002e-10,2.492292018141239e-12,2.149550069379778e-26,2.4922920181412175e-12,1.247112977511245e-167
5.26261989646698e-10,2.315516361258353e-12,3.750983646260477e-26,2.3155163612583156e-12,4.426396843328154e-168
5.385409074853527e-10,2.14810268090335e-12,6.523773151111256e-26,2.1481026809032847e-12,1.5687478806765893e-168
5.511063210737591e-10,1.9898506252634518e-12,1.1308593852062822e-25,1.9898506252633387e-12,5.551549447178058e-169
5.639649150249792e-10,1.8405353805767547e-12,1.9537745021915036e-25,1.840535380576559e-12,1.961704229060638e-169
5.771235299196742e-10,1.6999107502445892e-12,3.364312611811044e-25,1.6999107502442527e-12,6.921673348170834e-170
5.905891659451746e-10,1.5677121569656413e-12,5.77396736628853e-25,1.567712156965064e-12,2.4386356996360124e-170
6.043689866194936e-10,1.443659548098427e-12,9.876620837536318e-25,1.4436595480974392e-12,8.579085778550673e-171
6.184703226021928e-10,1.3274601869184569e-12,1.6838310489050077e-24,1.327460186916773e-12,3.0136537198514587e-171
6.329006755942039e-10,1.218811314901594e-12,2.8611769686579647e-24,1.2188113148987328e-12,1.0570704757656649e-171
6.476677223286025e-10,1.1174026726116192e-12,4.8455937759608995e-24,1.1174026726067736e-12,3.702310110054356e-172
6.627793186545351e-10,1.0229188691592072e-12,8.179097031112134e-24,1.0229188691510281e-12,1.294791675547025e-172
6.782435037163942e-10,9.350415925141428e-13,1.376004306778764e-23,9.350415925003829e-13,4.5215283669809615e-173
6.940685042305439e-10,8.534516551623222e-13,2.3072268721343008e-23,8.534516551392499e-13,1.5766266991103834e-173
7.102627388617896e-10,7.778308716890786e-13,3.855821179975639e-23,7.778308716505204e-13,5.489474213738268e-174
7.268348227020046e-10,7.078637668214035e-13,6.422432420474927e-23,7.078637667571792e-13,1.9084943457993952e-174
7.437935718532072e-10,6.432391142629427e-13,1.0661990149113678e-22,6.432391141563228e-13,6.625356646562627e-175
7.611480081176202e-10,5.836513082944413e-13,1.764140157340411e-22,5.836513081180273e-13,2.296602858995715e-175
7.789073637971137e-10,5.288015715861162e-13,2.909269609291937e-22,5.288015712951892e-13,7.949151907464061e-176
7.970810866046621e-10,4.783990039688062e-13,4.781794738312227e-22,4.783990034906267e-13,2.7473497292336912e-176
8.156788446903956e-10,4.3216147804101274e-13,7.833466032624602e-22,4.3216147725766613e-13,9.481244667711798e-177
8.347105317848905e-10,3.898163884479806e-13,1.2790074512731591e-21,3.8981638716897315e-13,3.267194701704594e-177
8.541862724625123e-10,3.5110126246114484e-13,2.081365060580819e-21,3.511012603797798e-13,1.1241983254060745e-177
8.741164275275121e-10,3.1576424011909104e-13,3.3758218544480925e-21,3.1576423674326917e-13,3.862505471237147e-178
8.945115995258477e-10,2.835644326695528e-13,5.457162123422832e-21,2.8356442721239066e-13,1.3251148984857776e-178
9.153826383855521e-10,2.5427216838813936e-13,8.7924572857114e-21,2.5427215959568205e-13,4.539376674961083e-179
9.367406471887626e-10,2.276691350515518e-13,1.4119189054260643e-20,2.2766912093236274e-13,1.5527343558397234e-179
9.58596988078366e-10,2.0354842842437368e-13,2.2597755994347647e-20,2.0354840582661769e-13,5.3034241089293565e-180
9.809632883025192e-10,1.817145160909884e-13,3.604764950059808e-20,1.817144800433389e-13,1.8087302852902583e-180
1.0038514464001423e-09,1.6198312584184012e-13,5.731188116183133e-20,1.6198306852995896e-13,6.159557560410568e-181
1.0272736385307947e-09,1.4418106762052997e-13,9.081727170774123e-20,1.4418097680325826e-13,2.0945150304013416e-181
1.0512423249521793e-09,1.2814599777146656e-13,1.4343274611698912e-19,1.2814585433872043e-13,7.11173720579419e-182
1.0757702566488467e-09,1.1372613401351569e-13,2.257793669858926e-19,1.137259082341487e-13,2.4111608016631323e-182
1.1008704821154964e-09,1.0077992922413916e-13,3.542225980344737e-19,1.0077957500154113e-13,8.16272010236303e-183
1.1265563542986152e-09,8.917571177231327e-14,5.5389105582802095e-19,8.917515788125744e-14,2.7593188690497684e-183
1.1528415377000116e-09,7.879129981587661e-14,8.632339567762499e-19,7.879043658191984e-14,9.313804813941952e-184
1.179740015646163e-09,6.951359671331942e-14,1.340876422703136e-18,6.951225583689672e-14,3.139139600047882e-184
1.2072660977271007e-09,6.123817453662512e-14,2.075893496801935e-18,6.123609864312831e-14,1.0564583558550202e-184
1.2354344274089366e-09,5.386885266943971e-14,3.2031513342261626e-18,5.386564951810548e-14,3.550196495637856e-185
1.264259989823936e-09,4.7317278714055704e-14,4.9261306054619224e-18,4.731235258345024e-14,1.1912712348652979e-185
1.293758119742398e-09,4.1502519521159285e-14,7.550756439468997e-18,4.1494968764719815e-14,3.9914176648486105e-186
1.3239445097305376e-09,3.6350671250607576e-14,1.153535797951812e-17,3.633913589262806e-14,1.3353710309953433e-186
1.3548352184986856e-09,3.179449918047368e-14,1.7564175456044516e-17,3.1776935005017636e-14,4.4610283354349456e-187
1.386446679444274e-09,2.7773120798990653e-14,2.6655113260424886e-17,2.774646568573023e-14,1.4880799619923646e-187
1.4187957093941684e-09,2.4231749946867115e-14,4.031710808019583e-17,2.4191432838786918e-14,4.9565079966014136e-188
1.451899517550987e-09,2.1121525989820333e-14,6.077910334868142e-17,2.1060746886471653e-14,1.6484797225239904e-188
1.4857757146481015e-09,1.8399460971276134e-14,9.132197177335222e-17,1.830813899950278e-14,5.474565588521894e-189
1.5204423223183302e-09,1.6028550493277698e-14,1.3675787576726474e-16,1.5891792617510432e-14,1.8154068623117854e-189
1.5559177826811312e-09,1.3978112165389895e-14,2.0411996632674944e-16,1.3773992199063146e-14,6.011135779929525e-190
1.5922209681535857e-09,1.2224440844793708e-14,3.03650992452719e-16,1.192078985234099e-14,1.9874552501855168e-190
1.6293711914901914e-09,1.0751905277817234e-14,4.502150379128079e-16,1.0301690239904426e-14,6.56139880701582e-191
1.6673882160570127e-09,9.554659807059346e-15,6.653058840686235e-16,8.889353922990722e-15,2.162986294054237e-191
1.7062922663454444e-09,8.63921245385328e-15,9.798933425565491e-16,7.65931911129673e-15,7.119825593756233e-192
1.7461040387313945e-09,8.028183511615136e-15,1.4384418997010274e-15,6.589741611914109e-15,2.340147321722144e-192
1.7868447124853929e-09,7.765715562371255e-15,2.104562937918562e-15,5.6611526244526935e-15,7.680248957434541e-193
1.828535961039704e-09,7.925168173465937e-15,3.0689342667831936e-15,4.856233906682743e-15,2.5168982157279123e-193
1.871199963518214e-09,8.61996375278761e-15,4.460354018250196e-15,4.159609734537413e-15,8.2359606578891e-194
1.9148594165354517e-09,1.0018765207566267e-14,6.461110207446469e-15,3.5576550001197984e-15,2.6910460496614922e-194
1.9595375462707915e-09,1.2366587334580424e-14,9.328268604912144e-15,3.03831872966828e-15,8.779832920294728e-195
2.0052581208244956e-09,1.6014006213424406e-14,1.3423043955085993e-14,2.590962258338412e-15,2.8602871096101964e-195
2.052045462861936e-09,2.1457378067882443e-14,1.9251166799502505e-14,2.206211268379937e-15,9.304461903786261e-196
2.099924462552911e-09,2.9393967275782554e-14,2.751814639573734e-14,1.8758208800452116e-15,3.0222553209980886e-196
2.148920590812865e-09,4.0797184093704946e-14,3.920463111501516e-14,1.5925529786897841e-15,9.802329463253041e-197
2.199059912853022e-09,5.701883707764741e-14,5.5668772112232583e-14,1.3500649654148235e-15,3.174575757980809e-197
2.250369102046667e-09,7.992752765457031e-14,7.878471852379579e-14,1.1428091307745187e-15,1.0265978522727267e-197
2.3028754541190046e-09,1.1209519832033391e-13,1.1112925645019773e-13,9.659418701361847e-16,3.3149216099972433e-198
2.356606901668106e-09,1.570475701399903e-13,1.5623232815601295e-13,8.152419839773494e-16,1.0688196509220465e-198
2.4115920290245693e-09,2.19598990549423e-13,2.18911953213853e-13,6.87037335570013e-16,3.4410727370998358e-199
2.467860087458036e-09,3.062983303396039e-13,3.0572019116850335e-13,5.781391711005242e-16,1.106220064209615e-199
2.5254410107383514e-09,4.2602035028536094e-13,4.2553456684297985e-13,4.857834423810797e-16,3.55097377910372e-200
2.5843654310599657e-09,5.907468042040682e-13,5.903392256949681e-13,4.075785091000553e-16,1.1381818483564459e-200
2.6446646953377244e-09,8.165939382961335e-13,8.162524796608046e-13,3.414586353288766e-16,3.642789706431292e-201
2.7063708818830413e-09,1.1251585611106666e-12,1.124872918377535e-12,2.856427331316496e-16,1.1641657064101178e-201
2.769516817469001e-09,1.545274173776707e-12,1.5450355759326142e-12,2.385978440929322e-16,3.7149567211658855e-202
2.834136094793801e-09,2.1152925621931776e-12,2.115093555306228e-12,1.9900688694982819e-16,1.183725412120028e-202
2.9002630903514727e-09,2.8860356851981418e-12,2.8858699449622112e-12,1.657402359306355e-16,3.7662265382020873e-203
2.9679329827197646e-09,3.924598705753844e-12,3.9244608750242695e-12,1.3783072957419754e-16,1.1965205530418688e-203
3.0371817712745214e-09,5.319228809559011e-12,5.3191143578155005e-12,1.144517435111669e-16,3.795702295413246e-204
3.108046295340915e-09,7.185557386436911e-12,7.1854624884441505e-12,9.489799276043044e-17,1.2023263845515506e-204
3.1805642537913196e-09,9.674526705100749e-12,9.674448136341333e-12,7.856875941667807e-17,3.80286464963508e-205
3.254774225100651e-09,1.2982428012197435e-11,1.2982363058927333e-11,6.495327010179719e-17,1.2010403962322998e-205
3.330715687869438e-09,1.736355776017271e-11,1.7363504142198524e-11,5.3617974188440107e-17,3.7875869975407605e-206
3.4084290418259547e-09,2.3146104216625932e-11,2.3146060021127362e-11,4.419549857143538e-17,1.192685322571755e-206
3.487955629318171e-09,3.075199985328774e-11,3.0751963478210056e-11,3.63750776829976e-17,3.750139198090797e-207
3.569337757307372e-09,4.072161743083439e-11,4.072158753655583e-11,2.989427856204162e-17,1.1774084744224203e-207
3.6526187198747366e-09,5.374435122238284e-11,5.374432669052268e-11,2.4531860155346605e-17,3.69117964364358e-208
3.737842821253185e-09,7.069631073479577e-11,7.069629063317205e-11,2.0101623720351433e-17,1.155477418688498e-208
3.825055399396604e-09,9.268656357463007e-11,9.268654712750278e-11,1.6447127298156028e-17,3.611736005228968e-209
3.91430285009893e-09,1.2111359717585067e-10,1.2111358373869885e-10,1.3437151819043294e-17,1.1272721832865855e-209
4.005632651675998e-09,1.5773392559525193e-10,1.5773391463343235e-10,1.0961819584808093e-17,3.513175438780455e-210
4.099093390223318e-09,2.047450461174706e-10,2.0474503718819286e-10,8.929277737443037e-18,1.093274304676144e-210
4.194734785463215e-09,2.6488524835389185e-10,2.648852410910219e-10,7.262869967954494e-18,3.3971654591722503e-211
4.292607717194858e-09,3.415530916716013e-10,3.415530857728721e-10,5.8987292368667e-18,1.0540531589507212e-211
4.3927642523616976e-09,4.389496890961453e-10,4.3894968431241254e-10,4.78373276156275e-18,3.2656270461947106e-212
4.4952576727501636e-09,5.622472590661374e-10,5.622472551923693e-10,3.8737680642289636e-18,1.0102501183876325e-212
4.6001425033349215e-09,7.177877198751789e-10,7.177877167429133e-10,3.1322655529282216e-18,3.120681823715884e-213
4.707474541285209e-09,9.133153918430142e-10,9.133153893140551e-10,2.52895900807235e-18,9.625611487014724e-214
4.817310885648244e-09,1.1582481227296446e-09,1.158248120690804e-09,2.0388405432485227e-18,2.9645953376591016e-214
4.9297099677249175e-09,1.4639913429639947e-09,1.4639913413227135e-09,1.6412811739819728e-18,9.117185049878695e-215
5.044731582154529e-09,1.844299665943646e-09,1.844299664624354e-09,1.3192921264844191e-18,2.7997185433617867e-215
5.162436918724491e-09,2.3156906487581704e-09,2.315690647699265e-09,1.0589055115713394e-18,8.584721952456941e-216
5.2828885949225455e-09,2.897915190936989e-09,2.897915190088333e-09,8.486560325390316e-19,2.628429597458151e-216
5.406150689248166e-09,3.6144887412501004e-09,3.6144887405709525e-09,6.791480408758054e-19,8.03571860113238e-217
5.532288775301545e-09,4.4932869711825195e-09,4.493286970639825e-09,5.426945465439349e-19,2.4530779386702894e-217
5.661369956667588e-09,5.567208823153446e-09,5.5672088227204295e-09,4.3301677214834495e-19,7.477496684548372e-218
5.793462902614208e-09,6.8749088164929146e-09,6.87490881614792e-09,3.449945503438362e-19,2.2759324458994783e-218
5.928637884623197e-09,8.461599160504663e-09,8.461599160230205e-09,2.744593352081308e-19,6.917047546405725e-219
6.066966813773669e-09,1.0379920550564254e-08,1.0379920550346231e-08,2.18022861285416e-19,2.0991351953865596e-219
6.2085232789977385e-09,1.2690878484021433e-08,1.2690878483848498e-08,1.729355655320037e-19,6.360896299348582e-220
6.353382586228689e-09,1.5464839508909205e-08,1.5464839508772234e-08,1.3696981136988918e-19,1.9246620191566384e-220
6.50162179846256e-09,1.8782579000992648e-08,1.8782579000884324e-08,1.0832374160124768e-19,5.814988932968275e-221
6.653319776754559e-09,2.273636885687195e-08,2.2736368856786407e-08,8.554225666322085e-20,1.7542907141921497e-221
6.808557222172053e-09,2.74310899109803e-08,2.7431089910912848e-08,6.74521829460102e-20,5.284604524969877e-222
6.9674167187261474e-09,3.298534996845551e-08,3.29853499684024e-08,5.31091769545159e-20,1.589577385972408e-222
7.1299827773053704e-09,3.9532584150266246e-08,3.953258415022449e-08,4.175431743850131e-20,4.7742935105322165e-223
