ell,DeltaCl_over_Cl_A_percent,DeltaCl_over_Cl_B_percent
373,-7.598841022203938e-27,-2.2796523066611814e-26
374,-7.63454869924387e-27,-2.2903646097731612e-26
375,-7.670314495819535e-27,-2.3010943487458604e-26
376,-7.706138245902826e-27,-2.311841473770848e-26
377,-7.742019783709588e-27,-2.3226059351128767e-26
378,-7.777958943699295e-27,-2.3333876831097883e-26
379,-7.813955560574807e-27,-2.3441866681724423e-26
380,-7.850009469282066e-27,-2.3550028407846198e-26
381,-7.886120505009808e-27,-2.3658361515029419e-26
382,-7.92228850318929e-27,-2.3766865509567873e-26
383,-7.958513299494022e-27,-2.3875539898482063e-26
384,-7.994794729839442e-27,-2.3984384189518327e-26
385,-8.031132630382687e-27,-2.4093397891148064e-26
386,-8.067526837522275e-27,-2.4202580512566822e-26
387,-8.103977187897827e-27,-2.431193156369348e-26
388,-8.140483518389811e-27,-2.4421450555169434e-26
389,-8.17704566611924e-27,-2.4531136998357717e-26
390,-8.213663468447385e-27,-2.464099040534216e-26
391,-8.250336762975523e-27,-2.4751010288926568e-26
392,-8.287065387544627e-27,-2.486119616263388e-26
393,-8.323849180235117e-27,-2.4971547540705355e-26
394,-8.360687979366546e-27,-2.5082063938099637e-26
395,-8.397581623497353e-27,-2.519274487049206e-26
396,-8.434529951424571e-27,-2.5303589854273713e-26
397,-8.47153280218354e-27,-2.541459840655062e-26
398,-8.508590015047647e-27,-2.5525770045142943e-26
399,-8.545701429528042e-27,-2.5637104288584126e-26
400,-8.582866885373344e-27,-2.574860065612003e-26
401,-8.620086222569394e-27,-2.586025866770818e-26
402,-8.657359281338957e-27,-2.597207784401687e-26
403,-8.694685902141444e-27,-2.6084057706424335e-26
404,-8.732065925672657e-27,-2.619619777701797e-26
405,-8.76949919286449e-27,-2.6308497578593465e-26
406,-8.806985544884659e-27,-2.6420956634653975e-26
407,-8.844524823136438e-27,-2.6533574469409316e-26
408,-8.882116869258374e-27,-2.6646350607775124e-26
409,-8.919761525124007e-27,-2.675928457537202e-26
410,-8.957458632841612e-27,-2.687237589852484e-26
411,-8.995208034753916e-27,-2.698562410426175e-26
412,-9.033009573437805e-27,-2.7099028720313424e-26
413,-9.0708630917041e-27,-2.72125892751123e-26
414,-9.108768432597224e-27,-2.732630529779167e-26
415,-9.146725439394971e-27,-2.744017631818491e-26
416,-9.184733955608218e-27,-2.755420186682465e-26
417,-9.222793824980655e-27,-2.766838147494197e-26
418,-9.260904891488505e-27,-2.778271467446551e-26
419,-9.299066999340264e-27,-2.78972009980208e-26
420,-9.337279992976432e-27,-2.8011839978929293e-26
421,-9.375543717069214e-27,-2.812663115120764e-26
422,-9.413858016522286e-27,-2.824157404956686e-26
423,-9.4522227364705e-27,-2.83566682094115e-26
424,-9.490637722279625e-27,-2.847191316683888e-26
425,-9.529102819546058e-27,-2.8587308458638175e-26
426,-9.567617874096583e-27,-2.870285362228975e-26
427,-9.606182731988084e-27,-2.881854819596425e-26
428,-9.644797239507265e-27,-2.8934391718521797e-26
429,-9.683461243170408e-27,-2.9050383729511226e-26
430,-9.722174589723088e-27,-2.9166523769169264e-26
431,-9.760937126139896e-27,-2.9282811378419685e-26
432,-9.799748699624187e-27,-2.9399246098872567e-26
433,-9.83860915760781e-27,-2.951582747282343e-26
434,-9.877518347750826e-27,-2.963255504325248e-26
435,-9.916476117941254e-27,-2.9749428353823767e-26
436,-9.955482316294808e-27,-2.9866446948884426e-26
437,-9.994536791154608e-27,-2.9983610373463827e-26
438,-1.0033639391090937e-26,-3.010091817327282e-26
439,-1.0072789964900965e-26,-3.0218369894702897e-26
440,-1.0111988361608476e-26,-3.0335965084825426e-26
441,-1.015123443046361e-26,-3.0453703291390834e-26
442,-1.0190528020942613e-26,-3.0571584062827835e-26
443,-1.0229868982747524e-26,-3.0689606948242573e-26
444,-1.0269257165805967e-26,-3.08077714974179e-26
445,-1.0308692420270853e-26,-3.092607726081256e-26
446,-1.0348174596520114e-26,-3.1044523789560346e-26
447,-1.0387703545156457e-26,-3.1163110635469376e-26
448,-1.0427279117007094e-26,-3.128183735102129e-26
449,-1.046690116312346e-26,-3.1400703489370383e-26
450,-1.0506569534780978e-26,-3.151970860434293e-26
451,-1.0546284083478777e-26,-3.1638852250436333e-26
452,-1.0586044660939429e-26,-3.175813398281829e-26
453,-1.0625851119108702e-26,-3.187755335732611e-26
454,-1.0665703310155286e-26,-3.199710993046585e-26
455,-1.0705601086470526e-26,-3.211680325941158e-26
456,-1.074554430066817e-26,-3.2236632902004516e-26
457,-1.0785532805584102e-26,-3.235659841675231e-26
458,-1.0825566454276092e-26,-3.247669936282828e-26
459,-1.0865645100023515e-26,-3.259693530007055e-26
460,-1.0905768596327104e-26,-3.271730578898131e-26
461,-1.0945936796908688e-26,-3.283781039072607e-26
462,-1.0986149555710936e-26,-3.2958448667132813e-26
463,-1.102640672689708e-26,-3.3079220180691244e-26
464,-1.106670816485068e-26,-3.320012449455204e-26
465,-1.110705372417534e-26,-3.3321161172526024e-26
466,-1.114744325969447e-26,-3.344232977908341e-26
467,-1.1187876626451012e-26,-3.3563629879353044e-26
468,-1.1228353679707194e-26,-3.368506103912158e-26
469,-1.1268874274944252e-26,-3.380662282483276e-26
470,-1.1309438267862207e-26,-3.3928314803586624e-26
471,-1.135004551437956e-26,-3.405013654313868e-26
472,-1.1390695870633073e-26,-3.417208761189922e-26
473,-1.1431389192977507e-26,-3.4294167578932523e-26
474,-1.1472125337985336e-26,-3.441637601395601e-26
475,-1.1512904162446529e-26,-3.453871248733959e-26
476,-1.1553725523368267e-26,-3.466117657010481e-26
477,-1.1594589277974697e-26,-3.478376783392409e-26
478,-1.1635495283706671e-26,-3.4906485851120013e-26
479,-1.1676443398221505e-26,-3.5029330194664514e-26
480,-1.1717433479392696e-26,-3.515230043817809e-26
481,-1.1758465385309701e-26,-3.52753961559291e-26
482,-1.1799538974277652e-26,-3.539861692283296e-26
483,-1.1840654104817116e-26,-3.5521962314451344e-26
484,-1.1881810635663844e-26,-3.5645431906991535e-26
485,-1.1923008425768502e-26,-3.576902527730551e-26
486,-1.1964247334296451e-26,-3.5892742002889355e-26
487,-1.2005527220627434e-26,-3.6016581661882305e-26
488,-1.204684794435538e-26,-3.6140543833066145e-26
489,-1.2088209365288136e-26,-3.626462809586441e-26
490,-1.2129611343447178e-26,-3.6388834030341536e-26
491,-1.2171053739067424e-26,-3.651316121720227e-26
492,-1.2212536412596921e-26,-3.663760923779076e-26
493,-1.2254059224696624e-26,-3.6762177674089875e-26
494,-1.2295622036240143e-26,-3.688686610872043e-26
495,-1.2337224708313484e-26,-3.7011674124940453e-26
496,-1.2378867102214797e-26,-3.7136601306644387e-26
497,-1.2420549079454126e-26,-3.726164723836238e-26
498,-1.2462270501753183e-26,-3.7386811505259554e-26
499,-1.2504031231045043e-26,-3.751209369313513e-26
500,-1.2545831129473949e-26,-3.763749338842185e-26
501,-1.2587670059395039e-26,-3.7763010178185124e-26
502,-1.2629547883374081e-26,-3.788864365012225e-26
503,-1.2671464464187257e-26,-3.801439339256178e-26
504,-1.2713419664820894e-26,-3.8140258994462685e-26
505,-1.2755413348471205e-26,-3.8266240045413615e-26
506,-1.2797445378544067e-26,-3.83923361356322e-26
507,-1.2839515618654754e-26,-3.851854685596426e-26
508,-1.2881623932627689e-26,-3.8644871797883074e-26
509,-1.2923770184496216e-26,-3.877131055348865e-26
510,-1.2965954238502322e-26,-3.889786271550697e-26
511,-1.300817595909641e-26,-3.9024527877289234e-26
512,-1.305043521093705e-26,-3.915130563281115e-26
513,-1.309273185889073e-26,-3.927819557667219e-26
