f_Hz,Omega_GW_total,Omega_GW_QCD,Omega_GW_weak,Omega_GW_thermal
5.413360302965375e-10,2.1194726074329545e-12,7.679192997446136e-15,2.1117934144355083e-12,2.3724035261000246e-62
5.56533077842764e-10,1.935628689229214e-12,1.0292635265806979e-14,1.9253360539634073e-12,1.1590732193113843e-62
5.72156755506324e-10,1.7653741877172393e-12,1.3766161318367584e-14,1.7516080263988718e-12,5.650780695183841e-63
5.882190401699967e-10,1.6085391882098396e-12,1.8372759771818424e-14,1.5901664284380212e-12,2.749041555871477e-63
6.047322449462655e-10,1.4650026905853032e-12,2.4468717639297998e-14,1.4405339729460051e-12,1.3345333391240854e-63
6.217090286163833e-10,1.3347239846093603e-12,3.2517960030801754e-14,1.3022060245785584e-12,6.464766173244673e-64
6.391624053344005e-10,1.2177804244466918e-12,4.31231668924835e-14,1.1746572575542084e-12,3.125010534169171e-64
6.571057546036271e-10,1.1144133436937386e-12,5.706545340482472e-14,1.0573478902889139e-12,1.5073892741886058e-64
6.75552831533164e-10,1.025084304663227e-12,7.53548427712807e-14,9.497294618919462e-13,7.255621625383486e-65
6.945177773823689e-10,9.50544429056399e-13,9.92943036691312e-14,8.51250125387268e-13,3.4849704753600924e-65
7.140151304013388e-10,8.919202325972208e-13,1.3056079076634376e-13,7.61359441830877e-13,1.6703168044638262e-65
7.340598369757196e-10,8.508202086077807e-13,1.7130754047994688e-13,6.795126681278338e-13,7.988658724055426e-66
7.546672630843902e-10,8.294674043027634e-13,2.242928650784176e-13,6.051745392243459e-13,3.8126255792555785e-66
7.758532060787843e-10,8.30864443333653e-13,2.930418909377e-13,5.37822552395953e-13,1.8157235097900843e-66
7.97633906792928e-10,8.589989092095697e-13,3.8204914167836163e-13,4.76949767531208e-13,8.62880286408383e-67
8.200260619934131e-10,9.190987636250917e-13,4.970316210224038e-13,4.220671426026879e-13,4.0919154187976785e-67
8.430468371788967e-10,1.0179495857614446e-12,6.45244157838511e-13,3.727054279229336e-13,1.9363239620886035e-67
8.667138797389224e-10,1.1642879458041095e-12,8.358712994825898e-13,3.2841664632151975e-13,9.14333563947845e-68
8.910453324821504e-10,1.3692882397597348e-12,1.0805130506762445e-12,2.8877518908349027e-13,4.308306336720621e-68
9.160598475443691e-10,1.6471638945247466e-12,1.3937853351190155e-12,2.533785594057311e-13,2.02574026118355e-68
9.417766006869538e-10,2.015908094059366e-12,1.7940602977461902e-12,2.2184779631317584e-13,9.504651870143604e-69
9.682153059967095e-10,2.4982041828124115e-12,2.3043765703165187e-12,1.9382761249589273e-13,4.450040258402052e-69
9.953962309984242e-10,3.1225417865548896e-12,2.953555507103719e-12,1.6898627945117062e-13,2.079059584922408e-69
1.0233402121916423e-09,3.9245815812362725e-12,3.777566288520062e-12,1.4701529271620995e-13,9.692709644707744e-70
1.052068671023623e-09,4.948819677743536e-12,4.8211908288127695e-12,1.276288489307667e-13,4.509192135948117e-70
1.0816036303107092e-09,6.250611927381631e-12,6.1400487623304905e-12,1.1056316505114067e-13,2.093281086166008e-70
1.1119677311206979e-09,7.89862925443135e-12,7.803053586112449e-12,9.5575668318902e-14,9.696871234519842e-71
1.143184250129148e-09,9.977827564277815e-12,9.895383480638426e-12,8.244408363938877e-14,4.482403809806003e-71
1.1752771174629476e-09,1.2593030043876377e-11,1.2522064600965385e-11,7.09654429109924e-14,2.0675956000669724e-71
1.2082709350447783e-09,1.587323595848637e-11,1.5812280919859938e-11,6.095503862643273e-14,9.516899667429556e-72
1.2421909954526186e-09,1.997678855167519e-11,1.9924543209880313e-11,5.2245341794876674e-14,4.371199751315333e-72
1.2770633013086446e-09,2.5097555571568956e-11,2.505287066961209e-11,4.468490195686776e-14,2.003461891099877e-72
1.3129145852124653e-09,3.147229946729336e-11,3.143416222247008e-11,3.8137244823278294e-14,9.162981075220607e-73
1.3497723302339418e-09,3.938944060603403e-11,3.9356960825134255e-11,3.24797808997761e-14,4.1818433858524965e-73
1.387664790981307e-09,4.919944611455484e-11,4.9171843378166995e-11,2.7602736387846014e-14,1.9044694445999665e-73
1.4266210152607355e-09,6.13271092822857e-11,6.130370116658104e-11,2.3408115704656352e-14,8.654769882854192e-74
1.4666708663439655e-09,7.628601996988638e-11,7.626621126673265e-11,1.9808703153732263e-14,3.924752834701735e-74
1.5078450458610541e-09,9.469556518944336e-11,9.467883807982527e-11,1.6727109618091614e-14,1.776005756964108e-74
1.550175117335772e-09,1.1730084093614826e-10,1.1728674606750413e-10,1.4094868644134316e-14,8.019581353401058e-75
1.593693530381776e-09,1.4499590135068588e-10,1.4498404976574493e-10,1.1851584940957377e-14,3.613551896563346e-75
1.6384336455779847e-09,1.788508191714206e-10,1.788408750342854e-10,9.94413713519355e-15,1.6247710263560086e-75
1.6844297600423152e-09,2.2014308187272987e-10,2.201347559371377e-10,8.325935592157303e-15,7.2899627020744e-76
1.7317171337233529e-09,2.703939004185024e-10,2.703869441832685e-10,6.956235233898013e-15,3.263876500730329e-76
1.780332016430112e-09,3.3141006156673204e-10,3.314042620641865e-10,5.7995025455541164e-15,1.45820102557805e-76
1.8303116756206094e-09,4.053320093395497e-10,4.0532718450419607e-10,4.824835353610358e-15,6.500942907096094e-77
1.8816944249705517e-09,4.946888956174671e-10,4.946848901839944e-10,4.005433472689427e-15,2.892081819382358e-77
1.934519653744048e-09,6.024613925977503e-10,6.024580744798101e-10,3.3181179401353117e-15,1.2838670987124288e-77
1.9888278569888115e-09,7.321531096018252e-10,7.321503667055468e-10,2.7428962783640373e-15,5.68728293425774e-78
2.0446606665791178e-09,8.878715016931142e-10,8.87869239122082e-10,2.2625710322651224e-15,2.5139976647255176e-78
2.1020608831301584e-09,1.0744191957669916e-09,1.07441733337828e-09,1.862388711594508e-15,1.1089198978371433e-78
2.161072508808376e-09,1.297396688911032e-09,1.2973951591848166e-09,1.5297262154948554e-15,4.8810218678374164e-79
2.2217407810628824e-09,1.5633173913306491e-09,1.5633161375188313e-09,1.2538118178271823e-15,2.143860888079883e-79
2.284112207303821e-09,1.879735989138602e-09,1.8797349636607633e-09,1.0254778384080403e-15,9.39631829425834e-80
2.348234600554281e-09,2.2553910876945493e-09,2.2553902507523415e-09,8.369422078311743e-16,4.1095484892933756e-80
2.4141571161030225e-09,2.7003630605878218e-09,2.7003623789715773e-09,6.816162444590987e-16,1.7935181219561374e-80
2.4819302891862575e-09,3.2262479692122717e-09,3.2262474152761773e-09,5.539360943979578e-16,7.81074932617701e-81
2.551606073727186e-09,3.8463483294523765e-09,3.846347880236944e-09,4.492154326729335e-16,3.394336557647406e-81
2.6232378821631234e-09,4.575881381465509e-09,4.575881017948328e-09,3.6351718107608334e-16,1.4719476817168663e-81
2.6968806263906925e-09,5.432205362059147e-09,5.432205068516987e-09,2.935421607322595e-16,6.369496700106123e-82
2.772590759860481e-09,6.435064082966282e-09,6.4350638464335205e-09,2.3653276152392984e-16,2.750382719782076e-82
2.850426320853432e-09,7.606849878843762e-09,7.60684968865389e-09,1.9018987301744694e-16,1.1851038671642655e-82
