material,Tc,theta_scalar,x,family,ratio
Ca-Sr-CuO2,110.0,100.08,0.1,Infinite-layer,0.9098181818181817
Ba214,73.0,76.38,0.3,T214,1.0463013698630137
Sr-La-CuO2,43.0,39.12,0.1,Infinite-layer,0.9097674418604651
NCCO,24.0,30.39,0.15,T214,1.26625
Pr-LSCO,20.0,28.48,0.12,T214,1.424
