ell,Delta_Cl_over_Cl_A,Delta_Cl_over_Cl_B
44,-1.3926188831495613e-06,-4.1778566494486835e-06
45,-1.4556683003227624e-06,-4.367004900968288e-06
46,-1.5200698000343093e-06,-4.560209400102927e-06
47,-1.5858205945982304e-06,-4.757461783794691e-06
48,-1.6529179000818308e-06,-4.958753700245492e-06
49,-1.7213589363014997e-06,-5.164076808904499e-06
50,-1.7911409268185296e-06,-5.373422780455588e-06
51,-1.8622610989349298e-06,-5.58678329680479e-06
52,-1.934716683689252e-06,-5.8041500510677555e-06
53,-2.0085049158524176e-06,-6.025514747557252e-06
54,-2.0836230339235457e-06,-6.250869101770637e-06
55,-2.160068280125794e-06,-6.480204840377382e-06
56,-2.2378379004021922e-06,-6.713513701206576e-06
57,-2.316929144411487e-06,-6.950787433234461e-06
58,-2.397339265523997e-06,-7.19201779657199e-06
59,-2.4790655208174516e-06,-7.437196562452354e-06
60,-2.5621051710728624e-06,-7.686315513218586e-06
61,-2.6464554807703683e-06,-7.939366442311104e-06
62,-2.7321137180851133e-06,-8.19634115425534e-06
63,-2.8190771548831053e-06,-8.457231464649316e-06
64,-2.9073430667170937e-06,-8.722029200151281e-06
65,-2.996908732822447e-06,-8.99072619846734e-06
