T,MR
2.03185,31.59213411602631
2.0893,-7.638769768621582
2.22525,-4.04996728728411
2.40305,0.5533998828927481
2.5964,-0.6361004052297404
2.7989,-3.863682144974481
3.0218,-0.622894532032245
3.23485,-0.3400919786889625
3.4458,1.2369249004916796
3.6372,-0.3194838397765709
3.845,5.523785821259372
4.02925,7.070300113281696
4.2441,32.93300119210967
4.44065,69.94540767800935
4.6579,239.86608184626144
4.8526,205.1008239788432
5.03495,307.21821662359986
5.2478,658.3763523733503
5.4297,994.9726756125474
5.64335,-32031.671459433106
5.8589,955.1531885978379
6.04065,560.1563756042895
6.24065,557.9515081138818
6.45685,600.8948831094422
6.6813,930.2106523262107
6.89375,1250.5096206130866
7.09605,898.3822389275139
7.2909,2928.4155890222287
7.48565,2023.6763923083743
7.6905,1358.9591025724005
7.88655,976.7271739929874
8.09555,1606.1521163680202
8.32865,3437.012859824762
8.55285,-2364.4961723714305
8.73735,-1854.9432021038406
8.9913,1870.744582843578
9.19285,-4653.391769478802
9.4222,7427.223304576676
9.6568,1779.0846477373836
9.81735,639.6192896169766
10.0289,1009.6230746976039
10.24105,1329.472561521504
10.44275,1131.7990136936842
10.6413,3622.052445918918
10.8451,7270.082630193589
11.05315,9057.290668128036
11.24575,9880.208942565365
11.44275,-1420.1424383078381
11.64695,-1051.7541528289407
11.84285,2885.172491427102
12.084,-9528.763535524176
12.2867,-22549.990063599023
12.5045,1782.1591993874185
12.7398,-8123.256982876971
12.9388,837.8156457675519
13.1742,2158.583062769181
13.4008,3839.1759388619603
13.5958,1546.970851221718
13.7991,2620.738094255121
13.99895,-15334.66161324613
14.19865,4063.2255253676667
14.40045,1013.4214715572472
14.5939,1731.9411695217357
14.79445,2952.816719294801
14.9883,5365.774315742093
15.1878,200063.19105199355
15.3949,821.8750709965695
15.5956,-514.6542388582194
15.7928,11981.33238259009
15.9983,1655.8083856158073
16.1969,660.7200279584615
16.40015,596.5677516877898
16.59695,582.541896322425
16.79865,394.31206774653964
16.99705,200.946603947443
17.1965,130.78747315243234
17.4318,50.07096075005922
17.6432,19.32461366136602
17.8376,8.312299116052438
18.04025,4.225972372261358
18.23725,2.7613267940559107
18.43695,1.9955312850143436
18.6401,1.4936566915919363
18.84925,1.1935054647473764
19.04845,1.0325092666590472
19.2515,0.8860983978397942
19.48295,0.7385508083171094
19.6969,0.5968035427396211
19.93725,0.48258640696692157
20.14215,0.42172451061140775
20.3439,0.370804616575055
20.58545,0.317052822812603
20.83585,0.27164781893006257
21.03835,0.2388917986995222
21.24495,0.20873821152864577
21.44155,0.18309297111103492
21.6455,0.15799607731782145
21.8423,0.1364273878682944
22.04585,0.11907045706636663
22.2487,0.10269447444161756
22.43585,0.08933081341034012
22.68225,0.07463154677079173
22.92965,0.06309168019528633
23.17865,0.05359751004424057
23.39255,0.04974750503343683
23.58805,0.0454113104749961
23.7929,0.04281493868760294
24.0272,0.04192924863686491
24.23385,0.04021288093021386
24.4405,0.039359556948428014
24.68005,0.038974745552798985
24.9289,0.03861545926799817
25.1405,0.038339976489074175
25.34165,0.03699651719049177
25.58,0.037311265024546666
25.8343,0.03571046276736625
26.04005,0.03563924395109219
26.24795,0.03537925507801389
26.4352,0.036218505830208754
26.6823,0.03481177041530075
26.88865,0.0342901586356965
27.0894,0.03392696958600757
27.29025,0.033316214052692424
27.49055,0.034352763298288354
27.6929,0.032275084001566166
27.93325,0.03296590821677359
28.1448,0.032985728053436345
28.38585,0.03105842594556608
28.5936,0.031569819602514676
